Device: cuda
Mode: lora | model: WinKawaks/vit-small-patch16-224 | image_size: 224
LoRA: rank=8 alpha=8 dropout=0.1
Trainable params: 221,184
Output dir: q1/outputs
Starting training.
                                                                          
Epoch 01/10 | train loss 4.2160 acc 0.0871 | val loss 3.0433 acc 0.2859 | 0.98 min
Epoch 02/10 | train loss 2.4636 acc 0.4354 | val loss 2.1178 acc 0.5227 | 0.97 min
Epoch 03/10 | train loss 1.8565 acc 0.5863 | val loss 1.7173 acc 0.6090 | 0.96 min
Epoch 04/10 | train loss 1.5213 acc 0.6668 | val loss 1.4506 acc 0.6662 | 0.96 min
Epoch 05/10 | train loss 1.3004 acc 0.7186 | val loss 1.2721 acc 0.7061 | 0.96 min
Epoch 06/10 | train loss 1.1385 acc 0.7563 | val loss 1.1342 acc 0.7414 | 0.96 min
Epoch 07/10 | train loss 1.0154 acc 0.7832 | val loss 1.0357 acc 0.7689 | 0.96 min
Epoch 08/10 | train loss 0.9188 acc 0.8060 | val loss 0.9652 acc 0.7750 | 0.97 min
Epoch 09/10 | train loss 0.8401 acc 0.8210 | val loss 0.8958 acc 0.7934 | 0.96 min
Epoch 10/10 | train loss 0.7770 acc 0.8363 | val loss 0.8602 acc 0.7961 | 0.96 min
