                                                                     
Epoch 01 | train acc 0.5010 | test acc 0.4908 | 0.03 min
Epoch 02 | train acc 0.4946 | test acc 0.5056 | 0.02 min
Epoch 03 | train acc 0.5046 | test acc 0.4956 | 0.03 min
Epoch 04 | train acc 0.5059 | test acc 0.4861 | 0.03 min
Epoch 05 | train acc 0.5042 | test acc 0.4943 | 0.02 min
Epoch 06 | train acc 0.5275 | test acc 0.5351 | 0.03 min
Epoch 07 | train acc 0.5258 | test acc 0.4895 | 0.03 min
Epoch 08 | train acc 0.4950 | test acc 0.4927 | 0.02 min
Epoch 09 | train acc 0.5277 | test acc 0.5135 | 0.02 min
Epoch 10 | train acc 0.5052 | test acc 0.5033 | 0.02 min
