nohup: ignoring input
Some weights of ViTForImageClassification were not initialized from the model checkpoint at WinKawaks/vit-small-patch16-224 and are newly initialized because the shapes did not match:
- classifier.bias: found shape torch.Size([1000]) in the checkpoint and torch.Size([100]) in the model instantiated
- classifier.weight: found shape torch.Size([1000, 384]) in the checkpoint and torch.Size([100, 384]) in the model instantiated
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/b23cs1037/.netrc.
wandb: Currently logged in as: ikamboj-919 (ikamboj-919-iit-jodhpur) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ze74a2dl
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/b23cs1037/otaal/ops-ass-5/wandb/run-20260401_220054-ze74a2dl
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run q1-lora-r4-a8-d0.1
wandb: ⭐️ View project at https://wandb.ai/ikamboj-919-iit-jodhpur/final-ops-ass-5
wandb: 🚀 View run at https://wandb.ai/ikamboj-919-iit-jodhpur/final-ops-ass-5/runs/ze74a2dl
Files already downloaded and verified
Files already downloaded and verified
Device: cuda
Mode: lora | model: WinKawaks/vit-small-patch16-224 | image_size: 224
LoRA: rank=4 alpha=8 dropout=0.1
Trainable params: 110,592
Output dir: q1/outputs
Starting training.

train epoch 1: 0it [00:00, ?it/s]
train epoch 1: 0it [00:01, ?it/s, acc=0.000, it_s=0.68, loss=5.213]
train epoch 1: 1it [00:01,  1.47s/it, acc=0.000, it_s=0.68, loss=5.213]
train epoch 1: 1it [00:02,  1.47s/it, acc=0.006, it_s=2.42, loss=5.121]
train epoch 1: 8it [00:02,  3.71it/s, acc=0.006, it_s=2.42, loss=5.121]
train epoch 1: 8it [00:02,  3.71it/s, acc=0.005, it_s=3.55, loss=5.134]
train epoch 1: 8it [00:03,  3.71it/s, acc=0.005, it_s=4.21, loss=5.141]
train epoch 1: 15it [00:03,  4.96it/s, acc=0.005, it_s=4.21, loss=5.141]
train epoch 1: 15it [00:04,  4.96it/s, acc=0.005, it_s=4.64, loss=5.132]
train epoch 1: 22it [00:04,  5.60it/s, acc=0.005, it_s=4.64, loss=5.132]
train epoch 1: 22it [00:05,  5.60it/s, acc=0.004, it_s=4.94, loss=5.119]
train epoch 1: 29it [00:05,  5.98it/s, acc=0.004, it_s=4.94, loss=5.119]
train epoch 1: 29it [00:05,  5.98it/s, acc=0.004, it_s=5.16, loss=5.110]
train epoch 1: 29it [00:06,  5.98it/s, acc=0.004, it_s=5.33, loss=5.092]
train epoch 1: 36it [00:06,  6.21it/s, acc=0.004, it_s=5.33, loss=5.092]
train epoch 1: 36it [00:07,  6.21it/s, acc=0.005, it_s=5.47, loss=5.088]
train epoch 1: 43it [00:07,  6.35it/s, acc=0.005, it_s=5.47, loss=5.088]
train epoch 1: 43it [00:08,  6.35it/s, acc=0.005, it_s=5.58, loss=5.074]
train epoch 1: 43it [00:08,  6.35it/s, acc=0.005, it_s=5.67, loss=5.059]
train epoch 1: 50it [00:08,  6.45it/s, acc=0.005, it_s=5.67, loss=5.059]
train epoch 1: 50it [00:09,  6.45it/s, acc=0.005, it_s=5.75, loss=5.048]
train epoch 1: 57it [00:09,  6.52it/s, acc=0.005, it_s=5.75, loss=5.048]
train epoch 1: 57it [00:10,  6.52it/s, acc=0.006, it_s=5.82, loss=5.033]
train epoch 1: 64it [00:10,  6.56it/s, acc=0.006, it_s=5.82, loss=5.033]
train epoch 1: 64it [00:11,  6.56it/s, acc=0.006, it_s=5.87, loss=5.022]
train epoch 1: 64it [00:11,  6.56it/s, acc=0.006, it_s=5.92, loss=5.008]
train epoch 1: 71it [00:11,  6.58it/s, acc=0.006, it_s=5.92, loss=5.008]
train epoch 1: 71it [00:12,  6.58it/s, acc=0.007, it_s=5.97, loss=4.991]
train epoch 1: 78it [00:13,  6.61it/s, acc=0.007, it_s=5.97, loss=4.991]
train epoch 1: 78it [00:13,  6.61it/s, acc=0.007, it_s=6.00, loss=4.972]
train epoch 1: 78it [00:14,  6.61it/s, acc=0.007, it_s=6.04, loss=4.953]
train epoch 1: 85it [00:14,  6.62it/s, acc=0.007, it_s=6.04, loss=4.953]
train epoch 1: 85it [00:14,  6.62it/s, acc=0.008, it_s=6.07, loss=4.936]
train epoch 1: 92it [00:15,  6.62it/s, acc=0.008, it_s=6.07, loss=4.936]
