                                                                    
Epoch 01 | train acc 0.4958 | test acc 0.5131 | 0.02 min
Epoch 02 | train acc 0.4994 | test acc 0.4999 | 0.02 min
Epoch 03 | train acc 0.5009 | test acc 0.4843 | 0.01 min
Epoch 04 | train acc 0.5022 | test acc 0.4760 | 0.01 min
Epoch 05 | train acc 0.4989 | test acc 0.4765 | 0.01 min
Epoch 06 | train acc 0.5053 | test acc 0.4994 | 0.01 min
Epoch 07 | train acc 0.5035 | test acc 0.4964 | 0.02 min
Epoch 08 | train acc 0.5014 | test acc 0.4830 | 0.03 min
Epoch 09 | train acc 0.5064 | test acc 0.4737 | 0.02 min
Epoch 10 | train acc 0.5166 | test acc 0.4939 | 0.01 min
