                                                                     
Epoch 01 | train acc 0.4939 | test acc 0.5014 | 0.02 min
Epoch 02 | train acc 0.4967 | test acc 0.5042 | 0.03 min
Epoch 03 | train acc 0.5026 | test acc 0.4984 | 0.03 min
Epoch 04 | train acc 0.5037 | test acc 0.4997 | 0.03 min
Epoch 05 | train acc 0.5012 | test acc 0.4908 | 0.03 min
Epoch 06 | train acc 0.5098 | test acc 0.4882 | 0.03 min
Epoch 07 | train acc 0.5368 | test acc 0.5393 | 0.03 min
Epoch 08 | train acc 0.5340 | test acc 0.5497 | 0.03 min
Epoch 09 | train acc 0.6452 | test acc 0.5838 | 0.03 min
Epoch 10 | train acc 0.7564 | test acc 0.7416 | 0.03 min
