Device: cuda
Mode: baseline | model: WinKawaks/vit-small-patch16-224 | image_size: 224
Trainable params: 38,500
Output dir: q1/outputs
Starting training.
                                                                           
Epoch 01/10 | train loss 2.2699 acc 0.5286 | val loss 1.2275 acc 0.7146 | 0.85 min
Epoch 02/10 | train loss 1.0102 acc 0.7476 | val loss 0.9497 acc 0.7527 | 0.83 min
Epoch 03/10 | train loss 0.8284 acc 0.7780 | val loss 0.8504 acc 0.7648 | 0.58 min
Epoch 04/10 | train loss 0.7426 acc 0.7953 | val loss 0.8067 acc 0.7727 | 0.40 min
Epoch 05/10 | train loss 0.6882 acc 0.8074 | val loss 0.7745 acc 0.7807 | 0.40 min
Epoch 06/10 | train loss 0.6470 acc 0.8175 | val loss 0.7567 acc 0.7836 | 0.40 min
Epoch 07/10 | train loss 0.6151 acc 0.8265 | val loss 0.7461 acc 0.7824 | 0.40 min
Epoch 08/10 | train loss 0.5903 acc 0.8318 | val loss 0.7298 acc 0.7881 | 0.40 min
Epoch 09/10 | train loss 0.5684 acc 0.8365 | val loss 0.7269 acc 0.7889 | 0.40 min
Epoch 10/10 | train loss 0.5491 acc 0.8418 | val loss 0.7232 acc 0.7910 | 0.40 min
