                                                                     
Epoch 01 | train acc 0.5642 | test acc 0.6687 | 0.03 min
Epoch 02 | train acc 0.8541 | test acc 0.7671 | 0.03 min
Epoch 03 | train acc 0.9456 | test acc 0.8808 | 0.03 min
Epoch 04 | train acc 0.9634 | test acc 0.9468 | 0.03 min
Epoch 05 | train acc 0.9746 | test acc 0.9327 | 0.02 min
Epoch 06 | train acc 0.9731 | test acc 0.9574 | 0.03 min
Epoch 07 | train acc 0.9827 | test acc 0.9346 | 0.02 min
Epoch 08 | train acc 0.9831 | test acc 0.7567 | 0.02 min
Epoch 09 | train acc 0.9859 | test acc 0.8696 | 0.03 min
Epoch 10 | train acc 0.9851 | test acc 0.9600 | 0.02 min
